,name,gender,origin,meaning
'AAMIR,'AAMIR,['m'],['Arabic'],"Means ""prosperous, substantial"" in Arabic."
'ABBAS,'ABBAS,['m'],"['Arabic', 'Persian']",Variant transcription of ABBAS.
'ABLA,'ABLA,['f'],['Arabic'],"Means ""full-figured"" in Arabic. The 7th-century Arabic poet Antara dedicated much of his poetry to a woman named Abla."
'ACH'AV,'ACH'AV,['m'],['Biblical Hebrew'],Biblical Hebrew form of AHAB.
'ADALYA','ADALYA',['m'],['Biblical Hebrew'],Hebrew form of ADALIA.
'ADINAH,'ADINAH,['m'],['Biblical Hebrew'],Hebrew form of ADINA(1).
'ADONIYAH,'ADONIYAH,['m'],['Biblical Hebrew'],Hebrew form of ADONIJAH.
'AISHA,'AISHA,['f'],['Arabic'],Variant transcription of AISHA.
'ALI,'ALI,['m'],['Arabic'],Variant transcription of ALI(1).
'AMARYAHU,'AMARYAHU,['m'],['Biblical Hebrew'],Original Hebrew form of AMARIAH.
'AMMAR,'AMMAR,['m'],['Arabic'],"Means ""virtuous, pious"" in Arabic."
'ARI'EL,'ARI'EL,['m'],['Biblical Hebrew'],Hebrew form of ARIEL.
'ASENAT,'ASENAT,['f'],['Biblical Hebrew'],Hebrew form of ASENATH.
'ASHTORET,'ASHTORET,['f'],"['Biblical Hebrew', 'Near Eastern Mythology']",Hebrew form of ASHTORETH.
'AVI'EL,'AVI'EL,['m'],['Biblical Hebrew'],Hebrew form of ABIEL.
'AVIGAYIL,'AVIGAYIL,['f'],['Biblical Hebrew'],Original Hebrew form of ABIGAIL.
'AVIMA'EL,'AVIMA'EL,['m'],['Biblical Hebrew'],Hebrew form of ABIMAEL.
'AVIMELEKH,'AVIMELEKH,['m'],['Biblical Hebrew'],Hebrew form of ABIMELECH.
'AVISHAY,'AVISHAY,['m'],['Biblical Hebrew'],Hebrew form of ABISHAI.
'AVIYAH,'AVIYAH,"['m', 'f']",['Biblical Hebrew'],Hebrew form of ABIJAH.
'AVSHALOM,'AVSHALOM,['m'],['Biblical Hebrew'],Hebrew form of ABSALOM.
'AZARYAH,'AZARYAH,['m'],['Biblical Hebrew'],Hebrew form of AZARIAH.
'AZAZYAHU,'AZAZYAHU,['m'],['Biblical Hebrew'],Hebrew form of AZAZIAH.
'AZIZ,'AZIZ,['m'],['Arabic'],Variant transcription of AZIZ.
'AZRI'EL,'AZRI'EL,['m'],['Biblical Hebrew'],Hebrew form of AZRIEL.
'EDNAH,'EDNAH,['f'],['Biblical Hebrew'],Hebrew form of EDNA(2).
'EFRAYIM,'EFRAYIM,['m'],['Biblical Hebrew'],Hebrew form of EPHRAIM.
'EL'AZAR,'EL'AZAR,['m'],['Biblical Hebrew'],Hebrew form of ELEAZAR.
'ELI'EZER,'ELI'EZER,['m'],['Biblical Hebrew'],Hebrew form of ELIEZER.
'ELIFALET,'ELIFALET,['m'],['Biblical Hebrew'],Hebrew form of ELIPHALET.
'ELIFELET,'ELIFELET,['m'],['Biblical Hebrew'],Hebrew form of ELIPHELET.
'ELNATAN,'ELNATAN,['m'],['Biblical Hebrew'],Hebrew form of ELNATHAN.
'ESAW,'ESAW,['m'],['Biblical Hebrew'],Hebrew form of ESAU.
'ESTER,'ESTER,['f'],['Biblical Hebrew'],Hebrew form of ESTHER.
'EZRA','EZRA',['m'],['Biblical Hebrew'],Ancient Hebrew form of EZRA.
'IRA','IRA',['m'],['Biblical Hebrew'],Hebrew form of IRA(1).
'ISAM,'ISAM,['m'],['Arabic'],"Means ""security, pledge"" in Arabic."
'ISMAT,'ISMAT,"['m', 'f']",['Arabic'],"Derived from Arabic عصم('Isma) meaning ""safeguarding""."
'ITTAY,'ITTAY,['m'],['Biblical Hebrew'],Biblical Hebrew form of ITHAI.
'IYYOV,'IYYOV,['m'],['Biblical Hebrew'],Biblical Hebrew form of JOB.
'IZEVEL,'IZEVEL,['f'],['Biblical Hebrew'],Hebrew form of JEZEBEL.
'OFRAH,'OFRAH,['m'],['Biblical Hebrew'],Hebrew form of OPHRAH.
'ORPAH,'ORPAH,['f'],['Biblical Hebrew'],Hebrew form of ORPAH.
